date,subject,message,station,cause,key,category_name,borough,line,reason
11/30/22 22:46,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Allerton Av.,Allerton Av,brake,brake,Brake Malfunction,['BX'],2,Delays
11/30/22 22:37,"BKLYN, D and Q Trains, Delays",Northbound D/Q trains are delayed while we address a mechanical problem on a train near DeKalb Av.,DeKalb Av,mechanical problem,mechanical problem,Mechanical Problem,['BKLYN'],D,Delays
11/30/22 22:37,"BKLYN, D and Q Trains, Delays",Northbound D/Q trains are delayed while we address a mechanical problem on a train near DeKalb Av.,DeKalb Av,mechanical problem,mechanical problem,Mechanical Problem,['BKLYN'],Q,Delays
11/30/22 22:13,"BX, 6 Train, Delays",Northbound 6 trains are running with delays after we corrected a switch malfunction near Buhre Av.,Buhre Av,switch,switch,Switch Malfunction,['BX'],6,Delays
11/30/22 22:06,"MANH, D Train, Delays",Northbound D trains are delayed while we investigate why a train's brakes were activated at Broadway-Lafayette St.,Broadway-Lafayette St,brake,brake,Brake Malfunction,['MANH'],D,Delays
11/30/22 21:37,"BKLYN, D and N Trains, Delays",Northbound D/N trains are delayed while we investigate why a train's brakes activated at 36 St.,36 St,brake,brake,Brake Malfunction,['BKLYN'],D,Delays
11/30/22 21:37,"BKLYN, D and N Trains, Delays",Northbound D/N trains are delayed while we investigate why a train's brakes activated at 36 St.,36 St,brake,brake,Brake Malfunction,['BKLYN'],N,Delays
11/30/22 21:26,"BKLYN, Q Train, Local to Express","Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes activated at Beverley Rd. If your stop is skipped, take a northbound train.",Beverley Rd,brake,brake,Brake Malfunction,['BKLYN'],Q,Local to Express
11/30/22 20:59,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we investigate why a train's brakes activated at Canal St.,Canal St,brake,brake,Brake Malfunction,['MANH'],C,Delays
11/30/22 20:59,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we investigate why a train's brakes activated at Canal St.,Canal St,brake,brake,Brake Malfunction,['MANH'],E,Delays
