index,date,agency,subject,message,station,cause
1,11/30/22 22:46,NYC,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Allerton Av.,Allerton Av,brake
3,11/30/22 22:37,NYC,"BKLYN, D and Q Trains, Delays",Northbound D/Q trains are delayed while we address a mechanical problem on a train near DeKalb Av.,DeKalb Av,mechanical problem
5,11/30/22 22:13,NYC,"BX, 6 Train, Delays",Northbound 6 trains are running with delays after we corrected a switch malfunction near Buhre Av.,Buhre Av,switch
7,11/30/22 22:06,NYC,"MANH, D Train, Delays",Northbound D trains are delayed while we investigate why a train's brakes were activated at Broadway-Lafayette St.,Broadway-Lafayette St,brake
9,11/30/22 21:37,NYC,"BKLYN, D and N Trains, Delays",Northbound D/N trains are delayed while we investigate why a train's brakes activated at 36 St.,36 St,brake
11,11/30/22 21:26,NYC,"BKLYN, Q Train, Local to Express","Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes activated at Beverley Rd. If your stop is skipped, take a northbound train.",Beverley Rd,brake
14,11/30/22 20:59,NYC,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we investigate why a train's brakes activated at Canal St.,Canal St,brake
16,11/30/22 20:35,NYC,"BX, 6 Train, Local to Express","Northbound 6 trains are running express from Parkchester to Pelham Bay Park. If your stop is skipped, take a southbound train. We are addressing a switch malfunction near Pelham Bay Park.",Pelham Bay Park,switch
18,11/30/22 20:27,NYC,"MANH, F and M Trains, Delays",Brooklyn-bound F/M trains are delayed while we request EMS assistance for a person in need at 14 St.,14 St,EMS
23,11/30/22 20:01,NYC,"BKLYN, A and C Trains, Delays",Southbound A/C trains are delayed while we work to correct a signal malfunction at Jay St-MetroTech.,Jay St-MetroTech,signal
25,11/30/22 19:47,NYC,"MANH, 2 and 3 Trains, Express to Local",Northbound 2/3 trains are running on the local track from Chambers St to 34 St-Penn Station. We're investigating why a train's brakes were activated near Houston St.,Houston St,brake
27,11/30/22 18:52,NYC,"BKLYN, N Train, Delays",Southbound N trains are running with delays after we moved a train that had its brakes activated at New Utrecht Av.,New Utrecht Av,brake
32,11/30/22 18:28,NYC,"QNS, M and R Trains, Delays",71 Av-bound M/R trains are delayed while we request EMS assistance for someone in need at Jackson Hts-Roosevelt Av.,Jackson Hts-Roosevelt Av,EMS
34,11/30/22 18:19,NYC,"MANH, R and W Trains, Delays",Northbound R/W trains are delayed while we request NYPD assistance with a person being disruptive at 49 St.,49 St,disruptive
36,11/30/22 17:53,NYC,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we investigate why a train's brakes activated at West Farms Sq-E Tremont Av.,West Farms Sq-E Tremont Av,brake
43,11/30/22 17:14,NYC,"BKLYN, 2, 3, and 5 Trains, Delays",Northbound 2/3/5 trains are delayed while we remove a train with a mechanical problem from service at Borough Hall.,Borough Hall,mechanical problem
48,11/30/22 17:05,NYC,"MANH, A and D Trains, Delays",Southbound A/D trains are delayed while EMS responds to a person in need at 59 St-Columbus Circle.,59 St-Columbus Circle,EMS
49,11/30/22 17:03,NYC,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are delayed while EMS responds to someone in need at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,EMS
52,11/30/22 17:00,NYC,"MANH, 4 and 5 Trains, Delays",4/5 trains are delayed in both directions while we work to address a signal malfunction at 86 St.,86 St,signal
53,11/30/22 16:59,NYC,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we work to address a switch malfunction near 149 St-Grand Concourse.,149 St-Grand Concourse,switch
56,11/30/22 16:48,NYC,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal
59,11/30/22 16:12,NYC,"QNS, A and Rockaway Park S Trains, Delays",A/H trains are delayed in The Rockaways while we address a signal problem at Broad Channel.,Broad Channel,signal
61,11/30/22 16:06,NYC,"BKLYN, D and N Trains, Delays",Southbound D/N trains are delayed while we request NYPD assistance with people being disruptive on a train at 36 St.,36 St,disruptive
63,11/30/22 15:51,NYC,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal
64,11/30/22 15:47,NYC,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are running with delays after NYPD responded to a person being disruptive at 34 St-Herald Sq.,34 St-Herald Sq,disruptive
65,11/30/22 15:25,NYC,"QNS, 7 Train, Multiple Changes","There is extremely limited 7 service between 34 St-Hudson Yards and Queensboro Plaza while we conduct urgent track maintenance near Vernon Blvd-Jackson Av. Hudson Yards-bound 7 trains will arrive on the Flushing-bound track from Hunters Point Av to 5 Av. 7X service is suspended. As an alternative for service between Manhattan and Queens, consider using an N/W train. For service in Manhattan, consider an S train. For service to/from 34 St-Hudson Yards, consider an M34-SBS bus to/from stations along 34 St. LIRR will accommodate MetroCard/OMNY holders at no additional charge at Penn Station, Woodside, Forest Hills, Kew Gardens, Jamaica, and Flushing.",Vernon Blvd-Jackson Av,track maintenance
66,11/30/22 15:23,NYC,"BX, 6 Train, Delays",Northbound 6 trains are delayed while we work to correct a switch malfunction near Buhre Av.,Buhre Av,switch
67,11/30/22 15:14,NYC,"MANH, A Train, Delays",Southbound A trains are running with delays after we removed a train with a mechanical problem from service at 190 St.,190 St,mechanical problem
82,11/30/22 14:14,NYC,"BX, 5 Train, Delays",Southbound 5 trains are delayed while we investigate why a train's brakes activated at Morris Park.,Morris Park,brake
83,11/30/22 14:14,NYC,"MANH, 6 Train, Delays",Northbound 6 trains are delayed while we remove a train with a door problem from service at 51 St.,51 St,door
84,11/30/22 14:13,NYC,"QNS, 7 Train, Multiple Changes","There is extremely limited 7 service between 34 St-Hudson Yards and Queensboro Plaza while we conduct urgent track maintenance near Vernon Blvd-Jackson Av. Hudson Yards-bound 7 trains will arrive on the Flushing-bound track from Hunters Point Av to 5 Av. As an alternative for service between Manhattan and Queens, consider using an N/W train. For service in Manhattan, consider an S train. For service to/from 34 St-Hudson Yards, consider an M34-SBS bus to/from stations along 34 St.",Vernon Blvd-Jackson Av,track maintenance
89,11/30/22 13:45,NYC,"BKLYN, N Train, Delays",Northbound N trains are delayed while we investigate why a train's brakes activated at Bay Pkwy.,Bay Pkwy,brake
90,11/30/22 13:37,NYC,"QNS, 7 Train, Delays","There is extremely limited 7 service between 34 St-Hudson Yards and Queensboro Plaza while we conduct urgent track maintenance near Vernon Blvd-Jackson Av. Hudson Yards-bound 7 trains will arrive on the Flushing-bound track at Hunters Point Av and Vernon Blvd-Jackson Av. As an alternative for service between Manhattan and Queens, consider using an N/W train. For service in Manhattan, consider an S train. For service to/from 34 St-Hudson Yards, consider an M34-SBS bus to/from stations along 34 St.",Vernon Blvd-Jackson Av,track maintenance
91,11/30/22 13:22,NYC,"MANH, B Train, Some Delays",You may wait longer for a southbound B train after we addressed a door problem on a train at 125 St.,125 St,door
93,11/30/22 13:12,NYC,"MANH, QNS, 7 Train, Part Suspended","There is no 7 service between 34 St-Hudson Yards and Queensboro Plaza in both directions. We are investigating what caused a train's brakes to activate near Vernon Blvd-Jackson Av. As an alternative, consider using an N/W train. For service in Manhattan, take an S train.",Vernon Blvd-Jackson Av,brake
95,11/30/22 13:02,NYC,"MANH, A and C Trains, Delays",Northbound A/C trains are delayed while we conduct an investigation at Canal St.,Canal St,na
96,11/30/22 13:01,NYC,"BKLYN, D and N Trains, Delays",Northbound D/N trains are running with delays after we removed a tree from the tracks near 8 Av. Northbound N trains have resumed making their regular stops.,8 Av,tree
99,11/30/22 12:21,NYC,"MANH, C and E Trains, Local to Express",Northbound E trains express from Canal St to 42 St-Port Authority Bus Terminal. Northbound C trains express from Canal St to 59 St-Columbus Circle. EMS is responding to someone in need of medical help at 14 St.,14 St,EMS
100,11/30/22 12:14,NYC,"BX, 6 Train, Delays",6 trains are running with delays in both directions while we continue to address a switch problem at Pelham Bay Park. 6 train service between Westchester Sq-E Tremont Av and Pelham Bay Park has resumed.,Pelham Bay Park,switch
101,11/30/22 11:52,NYC,"BKLYN, N Train, Local to Express","Northbound N trains are running express from Kings Hwy to 59 St while we remove a tree from the tracks near 8 Av. If your station is skipped, take a northbound train.",8 Av,tree
