date,agency,subject,message,station,cause
11/30/22 10:46 PM,NYC,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Allerton Av.,Allerton Av,brake
11/30/22 10:37 PM,NYC,"BKLYN, D and Q Trains, Delays",Northbound D/Q trains are delayed while we address a mechanical problem on a train near DeKalb Av.,DeKalb Av,mechanical problem
11/30/22 10:13 PM,NYC,"BX, 6 Train, Delays",Northbound 6 trains are running with delays after we corrected a switch malfunction near Buhre Av.,Buhre Av,switch
11/30/22 10:06 PM,NYC,"MANH, D Train, Delays",Northbound D trains are delayed while we investigate why a train's brakes were activated at Broadway-Lafayette St.,Broadway-Lafayette St,brake
11/30/22 9:37 PM,NYC,"BKLYN, D and N Trains, Delays",Northbound D/N trains are delayed while we investigate why a train's brakes activated at 36 St.,36 St,brake
11/30/22 9:26 PM,NYC,"BKLYN, Q Train, Local to Express","Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes activated at Beverley Rd. If your stop is skipped, take a northbound train.",Beverley Rd,brake
11/30/22 8:59 PM,NYC,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we investigate why a train's brakes activated at Canal St.,Canal St,brake
11/30/22 8:35 PM,NYC,"BX, 6 Train, Local to Express","Northbound 6 trains are running express from Parkchester to Pelham Bay Park. If your stop is skipped, take a southbound train. We are addressing a switch malfunction near Pelham Bay Park.",Pelham Bay Park,switch
11/30/22 8:27 PM,NYC,"MANH, F and M Trains, Delays",Brooklyn-bound F/M trains are delayed while we request EMS assistance for a person in need at 14 St.,14 St,EMS
11/30/22 8:01 PM,NYC,"BKLYN, A and C Trains, Delays",Southbound A/C trains are delayed while we work to correct a signal malfunction at Jay St-MetroTech.,Jay St-MetroTech,signal
11/30/22 7:47 PM,NYC,"MANH, 2 and 3 Trains, Express to Local",Northbound 2/3 trains are running on the local track from Chambers St to 34 St-Penn Station. We're investigating why a train's brakes were activated near Houston St.,Houston St,brake
11/30/22 6:52 PM,NYC,"BKLYN, N Train, Delays",Southbound N trains are running with delays after we moved a train that had its brakes activated at New Utrecht Av.,New Utrecht Av,brake
11/30/22 6:28 PM,NYC,"QNS, M and R Trains, Delays",71 Av-bound M/R trains are delayed while we request EMS assistance for someone in need at Jackson Hts-Roosevelt Av.,Jackson Hts-Roosevelt Av,EMS
11/30/22 6:19 PM,NYC,"MANH, R and W Trains, Delays",Northbound R/W trains are delayed while we request NYPD assistance with a person being disruptive at 49 St.,49 St,disruptive
11/30/22 5:53 PM,NYC,"BX, 2 and 5 Trains, Delays",Northbound 2/5 trains are delayed while we investigate why a train's brakes activated at West Farms Sq-E Tremont Av.,West Farms Sq-E Tremont Av,brake
11/30/22 5:14 PM,NYC,"BKLYN, 2, 3, and 5 Trains, Delays",Northbound 2/3/5 trains are delayed while we remove a train with a mechanical problem from service at Borough Hall.,Borough Hall,remove a train
11/30/22 5:05 PM,NYC,"MANH, A and D Trains, Delays",Southbound A/D trains are delayed while EMS responds to a person in need at 59 St-Columbus Circle.,59 St-Columbus Circle,EMS
11/30/22 5:03 PM,NYC,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are delayed while EMS responds to someone in need at 47-50 Sts-Rockefeller Ctr.,47-50 Sts-Rockefeller Ctr,EMS
11/30/22 5:00 PM,NYC,"MANH, 4 and 5 Trains, Delays",4/5 trains are delayed in both directions while we work to address a signal malfunction at 86 St.,86 St,signal
11/30/22 4:59 PM,NYC,"BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are delayed while we work to address a switch malfunction near 149 St-Grand Concourse.,149 St-Grand Concourse,switch
11/30/22 4:48 PM,NYC,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal
11/30/22 4:12 PM,NYC,"QNS, A and Rockaway Park S Trains, Delays",A/H trains are delayed in The Rockaways while we address a signal problem at Broad Channel.,Broad Channel,signal
11/30/22 4:06 PM,NYC,"BKLYN, D and N Trains, Delays",Southbound D/N trains are delayed while we request NYPD assistance with people being disruptive on a train at 36 St.,36 St,disruptive
11/30/22 3:51 PM,NYC,"MANH, B and D Trains, Delays",Northbound B/D trains are delayed while we address a signal problem near 7 Av.,7 Av,signal
11/30/22 3:47 PM,NYC,"MANH, F and M Trains, Delays",Jamaica-bound F and Forest Hills-bound M trains are running with delays after NYPD responded to a person being disruptive at 34 St-Herald Sq.,34 St-Herald Sq,disruptive
