date,agency,subject,message
11/30/22 10:59 PM,NYC,"Update: BX, 2 Train, Delays",Northbound 2 trains are running with delays after we investigated why a train's brakes were activated at Allerton Av.
11/30/22 10:46 PM,NYC,"BX, 2 Train, Delays",Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Allerton Av.
11/30/22 10:41 PM,NYC,"Update: BKLYN, D and Q Trains, Delays",Northbound D/N/Q trains are delayed after we addressed a mechanical problem on a train near DeKalb Av.
11/30/22 10:37 PM,NYC,"BKLYN, D and Q Trains, Delays",Northbound D/Q trains are delayed while we address a mechanical problem on a train near DeKalb Av.
11/30/22 10:34 PM,NYC,"Update: BX, 6 Train, Delays",Northbound 6 trains are running with delays after we addressed a switch malfunction near Pelham Bay Park. Northbound 6 trains have resumed local service from Parkchester to Pelham Bay Park.
11/30/22 10:13 PM,NYC,"BX, 6 Train, Delays",Northbound 6 trains are running with delays after we corrected a switch malfunction near Buhre Av.
11/30/22 10:12 PM,NYC,"Update: MANH, D Train, Delays",Northbound D trains are running with delays after we investigated why a train's brakes were activated at Broadway-Lafayette St.
11/30/22 10:06 PM,NYC,"MANH, D Train, Delays",Northbound D trains are delayed while we investigate why a train's brakes were activated at Broadway-Lafayette St.
11/30/22 9:48 PM,NYC,"Update: BKLYN, D and N Trains, Delays",Northbound D/N trains are running with delays after we moved a train that had its brake cord pulled at 36 St.
11/30/22 9:37 PM,NYC,"BKLYN, D and N Trains, Delays",Northbound D/N trains are delayed while we investigate why a train's brakes activated at 36 St.
11/30/22 9:33 PM,NYC,"Update: BKLYN, Q Train, Delays",Southbound Q trains are running with delays after we removed a train from service that had its brakes activated at Beverley Rd. Trains have resumed making regular stops.
11/30/22 9:26 PM,NYC,"BKLYN, Q Train, Local to Express","Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes activated at Beverley Rd. If your stop is skipped, take a northbound train."
11/30/22 9:12 PM,NYC,"Update: MANH, C and E Trains, Delays",Southbound C/E trains are running with delays after we moved a train that had its brakes activated at Canal St.
11/30/22 9:04 PM,NYC,"Update: MANH, B, D, F, and M Trains, Delays",Brooklyn-bound B/D/F/M trains are running with delays after we got EMS assistance for a person in need at 14 St. F/M trains have resumed making local stops from 34 St-Herald Sq to W 4 St-Wash Sq.
11/30/22 8:59 PM,NYC,"MANH, C and E Trains, Delays",Southbound C/E trains are delayed while we investigate why a train's brakes activated at Canal St.
11/30/22 8:38 PM,NYC,"Update: BX, 4 and 5 Trains, Delays",Southbound 4/5 trains are running with delays after we addressed a switch malfunction near 149 St-Grand Concourse.
11/30/22 8:35 PM,NYC,"BX, 6 Train, Local to Express","Northbound 6 trains are running express from Parkchester to Pelham Bay Park. If your stop is skipped, take a southbound train. We are addressing a switch malfunction near Pelham Bay Park."
11/30/22 8:33 PM,NYC,"Update: MANH, B, D, F, and M Trains, Multiple Changes","Brooklyn-bound F/M trains are running express from 34 St-Herald Sq to W 4 St-Wash Sq while we request EMS assistance for a person in need at 14 St. Expect delays in B/D/F/M service while trains share tracks. If your stop is skipped, take a Jamaica/Forest Hills-bound train."
